Wharf #,TSN,X_MGA56,Y_MGA56,Station Name,Circular Quay 2,Circular Quay 3,Circular Quay 4,Circular Quay 5,Manly,Garden Island,Cockatoo Island,Darling Point,Double Bay,Rose Bay,Watsons Bay,Pyrmont Bay,Birchgrove,Balmain,Balmain East,Abbotsford,Chiswick,Drummoyne,Huntleys Point,Barangaroo 1,Barangaroo 2,McMahons Point,North Sydney,Milsons Point,Kirribilli,Greenwich,Mosman Bay,South Mosman,Taronga Zoo,Neutral Bay,Kurraba Point,Cremorne Point,Old Cremorne,Woolwich,Kissing Point,Meadowbank,Rydalmere,Olympic Park,Cabarita,Parramatta
2,20003,334608,6251850,Circular Quay 2, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20004,334558,6251853,Circular Quay 3,50, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20005,334510,6251858,Circular Quay 4,98,48, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20006,334464,6251863,Circular Quay 5,145,95,46, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20951,341141,6258642,Manly,"9,424","9,457","9,486","9,515", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20007,336256,6252164,Garden Island,"1,678","1,726","1,773","1,817","8,113", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20009,330987,6253463,Cockatoo Island,"3,964","3,917","3,871","3,827","11,398","5,427", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20271,337157,6251257,Darling Point,"2,617","2,666","2,714","2,760","8,391","1,278","6,553", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20281,337456,6250497,Double Bay,"3,153","3,200","3,245","3,289","8,940","2,054","7,117",817, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20291,339259,6250794,Rose Bay,"4,769","4,819","4,867","4,913","8,071","3,301","8,692","2,152","1,827", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20301,340958,6253874,Watsons Bay,"6,665","6,712","6,756","6,798","4,772","5,003","9,979","4,615","4,865","3,518", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,200910,333390,6250971,Pyrmont Bay,"1,502","1,464","1,429","1,396","10,905","3,104","3,462","3,778","4,094","5,872","8,106", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20412,332201,6253389,Birchgrove,"2,857","2,813","2,770","2,729","10,369","4,236","1,216","5,395","5,998","7,520","8,770","2,695", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20413,332219,6252473,Balmain,"2,469","2,420","2,372","2,326","10,847","4,049","1,580","5,086","5,597","7,237","8,851","1,905",916, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20414,333113,6252239,Balmain East,"1,545","1,496","1,448","1,402","10,269","3,144","2,453","4,162","4,679","6,314","8,014","1,298","1,468",924, -   ,,,,,,,,,,,,,,,,,,,,,,,,,
22,20461,326813,6253601,Abbotsford,"7,989","7,940","7,892","7,846","15,189","9,552","4,176","10,606","11,086","12,759","14,148","7,083","5,392","5,522","6,446", -   ,,,,,,,,,,,,,,,,,,,,,,,,
23,20462,328076,6253416,Chiswick,"6,717","6,668","6,620","6,574","14,071","8,275","2,911","9,334","9,824","11,486","12,890","5,849","4,125","4,249","5,173","1,276", -   ,,,,,,,,,,,,,,,,,,,,,,,
